Ticker
AC.PA
ADP.PA
ADYEN.AS
AGN.AS
A5G.IR
AI.PA
AIR.PA
AKRBP.OL
AKZA.AS
AD.AS
MT.AS
ARGX.BR
ASM.AS
ASML.AS
ASRNL.AS
CS.PA
BIRG.IR
BESI.AS
BIM.PA
BNP.PA
EN.PA
BVI.PA
CPR.MI
CAP.PA
CA.PA
ACA.PA
DIE.BR
BN.PA
DSY.PA
DNB.OL
DSFIR.AS
EDEN.PA
EDP.LS
EDPR.LS
FGR.PA
ENEL.MI
ENGI.PA
ENI.MI
EQNR.OL
EL.PA
ERF.PA
ENX.PA
RACE.MI
FBK.MI
GALP.LS
GBLB.BR
G.MI
HAVAS.AS
HEIA.AS
INGA.AS
ISP.MI
INW.MI
IPN.PA
JMT.LS
KBC.BR
KER.PA
KRZ.IR
KRX.IR
PHIA.AS
KOG.OL
AD.AS
KPN.AS
LR.PA
LDO.MI
MB.MI
ML.PA
MONC.MI
MOWI.OL
NN.AS
NHY.OL
ORA.PA
RI.PA
PST.MI
PRX.AS
PRY.MI
PUB.PA
REC.MI
RNO.PA
RYA.IR
SAF.PA
SGO.PA
SAN.PA
DIM.PA
SU.PA
SHEEL.AS
SRG.MI
GLE.PA
SW.PA
STLAM.MI
STMPA.PA
TEL.OL
TEN.MI
TRN.MI
HO.PA
TTE.PA
UCB.BR
URW.PA
UCG.MI
VIE.PA
DG.PA
VIV.PA
WKL.AS
